Division,District,Main Points/Highlights
Rajshahi,Rajshahi,"Puthia Temple Complex, Varendra Research Museum, Bagha Mosque, Padma River, Shaheb Bazar"
Rajshahi,Sirajganj,"Bangabandhu Bridge (Jamuna Bridge), Rabindranath Tagore's Kacharibari, Hatikumrul Navaratna Temple, Loom Crafting Industry"
Rangpur,Dinajpur,"Kantojew Mondir, Ramsagor, Rajbari, Noyabad Mosque, Horinathpur Fortcity"
Rangpur,Gaibandha,"Rajbirat Prasad, Naldanga Zamidar Bari, Bamondanga Zamidar Bari, Shah Sultan Gazi's Mosque, Jamuna River"
Rangpur,Kurigram,"Jamuna River, Dharla Bridge, Mekurtari Shahi Mosque, North Bengal Museum, Bir Protik Taramon Bibi's house"
Rangpur,Lalmonirhat,"Teesta Barrage, Kakina Jomidar Bari, Tushbhandar Jamidar Bari, Mogolhat Port 0 Point, Lalmonirhat Railway Station"
Rangpur,Nilphamari,"Nilsagar, Chini Masjid, Tista Barrage, Uttara Export Processing Zone, Saidpur Railway Workshop"
Rangpur,Panchagarh,"Tetulia Dak Bungalow, Debiganj Karatoya Bridge, Kazi and Kazi Tea Estate, Banglabandha Point (Zero Point), Panchagarh Rocks Museum"
Rangpur,Rangpur,"Tajhat Palace, Rangpur Zoo, Vinnya Jagat Amusement Park, Begum Rokeya Memorial, Chiklee Water Park"
Rangpur,Thakurgaon,"Balia Mosque, Biggest mango tree of Asia, Tangon River, Ramrai Dighi, Haripur Rajbari"
Sylhet,Habiganj,"Tea Museum, Bodhavumi 71, Lawachara National Park, Ratargul Swamp Forest"
Sylhet,Moulvibazar,"Hum Hum Falls, Sreemangal Tea Gardens, Lawachara National Park, Madhobpur Lake, Prithimpassa Jame Masjid"
Sylhet,Sunamganj,"Tanguar Haor, Niladri Limestone Lake, Shimul Bagan, Jadukata River, Barek Tila, Hason Raja Museum"
Sylhet,Sylhet,"Shrine of Hazrat Shah Jalal, Jaflong, Ratargul Swamp Forest, Bisnakandi, Hazrat Shah Paran Mazar Sharif, Madhabkunda Waterfall"
